python -m models.reg_lstm --dataset R52 --mode static --batch-size 32 --lr 0.01 --epochs 30 --bidirectional --num-layers 1 --hidden-dim 512 --wdrop 0.1 --embed-droprate 0.2 --dropout 0.5 --beta-ema 0.99 --seed 3435 --no-cuda
Dataset: R52
No. of target classes: 52
No. of train instances 5879
No. of dev instances 2568
No. of test instances 2568
Applying weight drop of 0.1 to weight_hh_l0

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
 10050     6       931    11/184         6% 0.574237      88.3523
 10091     6       941    21/184        11% 0.326565      89.8810
 10136     6       951    31/184        17% 0.054738      90.4234
 10181     6       961    41/184        22% 0.226890      89.4817
 10225     6       971    51/184        28% 0.817914      90.0735
 10265     6       981    61/184        33% 0.080466      89.3955
 10306     6       991    71/184        39% 0.478081      89.2606
 10375     6      1001    81/184        44% 0.044057      89.0818
 10402     6      1011    91/184        49% 0.001986      89.6635
 10441     6      1021   101/184        55% 0.281409      89.6658
 10481     6      1031   111/184        60% 0.518965      89.3300
 10513     6      1041   121/184        66% 0.592643      89.0496
 10535     6      1051   131/184        71% 0.000774      89.1221
 10574     6      1061   141/184        77% 0.119384      89.1401
 10640     6      1071   151/184        82% 0.110099      89.0728
 10675     6      1081   161/184        88% 0.372878      89.2275
 10718     6      1091   171/184        93% 0.783896      89.1996
 10766     6      1101   181/184        98% 0.106720      89.1920

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
 10910     6      1104     6/30     0.9202   0.9202   0.9202       0.9202       0.3138

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
 10929     7      1111     7/184         4% 0.011426      93.7500
 10955     7      1121    17/184         9% 0.100509      94.1176
 10995     7      1131    27/184        15% 0.714709      91.5509
 11064     7      1141    37/184        20% 0.626438      90.0338
 11100     7      1151    47/184        26% 0.178831      90.1596
 11143     7      1161    57/184        31% 0.872955      89.8026
 11222     7      1171    67/184        36% 0.583715      89.6455
 11279     7      1181    77/184        42% 0.390952      89.4075
 11304     7      1191    87/184        47% 0.859005      89.9784
 11332     7      1201    97/184        53% 0.599052      89.8840
 11361     7      1211   107/184        58% 0.408792      89.6320
 11387     7      1221   117/184        64% 0.000165      89.9038
 11417     7      1231   127/184        69% 0.502251      90.0591
 11451     7      1241   137/184        74% 0.489114      89.8723
 11497     7      1251   147/184        80% 0.638729      89.8597
 11535     7      1261   157/184        85% 0.123082      89.9881
 11623     7      1271   167/184        91% 1.287446      89.9906
 11667     7      1281   177/184        96% 0.292588      89.9735

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
 11802     7      1288     7/30     0.9248   0.9248   0.9248       0.9248       0.3067

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
 11823     8      1291     3/184         2% 0.853807      89.5833
 11865     8      1301    13/184         7% 0.373265      92.3077
 11914     8      1311    23/184        12% 0.245012      92.5272
 11960     8      1321    33/184        18% 0.698981      92.8030
 12039     8      1331    43/184        23% 0.414708      91.0610
 12067     8      1341    53/184        29% 0.103775      91.7453
 12128     8      1351    63/184        34% 0.465147      91.1706
 12160     8      1361    73/184        40% 0.805049      91.1387
 12207     8      1371    83/184        45% 0.726568      91.2274
 12231     8      1381    93/184        51% 0.000007      91.1626
 12259     8      1391   103/184        56% 0.196652      91.3835
 12290     8      1401   113/184        61% 0.311706      91.2334
 12354     8      1411   123/184        67% 0.660239      91.1637
 12407     8      1421   133/184        72% 0.597611      91.1231
 12444     8      1431   143/184        78% 0.120409      91.0882
 12474     8      1441   153/184        83% 0.000024      91.3035
 12528     8      1451   163/184        89% 0.673482      91.1657
 12567     8      1461   173/184        94% 0.313893      91.0259
 12602     8      1471   183/184        99% 0.737841      91.1066

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
 12735     8      1472     8/30     0.9237   0.9237   0.9237       0.9237       0.3017

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
 12802     9      1481     9/184         5% 0.200597      84.7222
 12843     9      1491    19/184        10% 0.245280      89.6382
 12900     9      1501    29/184        16% 0.002502      90.0862
 12926     9      1511    39/184        21% 0.303700      90.8654
 12962     9      1521    49/184        27% 0.200184      91.0714
 13011     9      1531    59/184        32% 0.315601      90.9428
 13054     9      1541    69/184        38% 0.748134      91.2138
 13088     9      1551    79/184        43% 0.041012      91.3766
 13117     9      1561    89/184        48% 0.120671      91.3272
 13163     9      1571    99/184        54% 0.231528      91.2247
 13194     9      1581   109/184        59% 0.384665      91.3417
 13247     9      1591   119/184        65% 0.367023      91.4714
 13295     9      1601   129/184        70% 0.277544      91.7213
 13332     9      1611   139/184        76% 0.194639      91.6423
 13369     9      1621   149/184        81% 0.183394      91.4688
 13412     9      1631   159/184        86% 0.145211      91.4747
 13468     9      1641   169/184        92% 0.580693      91.4984
 13502     9      1651   179/184        97% 0.411198      91.4670

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
 13652     9      1656     9/30     0.9229   0.9229   0.9229       0.9229       0.3178

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
 13671    10      1661     5/184         3% 0.000726      92.5000
 13710    10      1671    15/184         8% 0.040019      93.1250
 13739    10      1681    25/184        14% 0.163117      92.5000
 13813    10      1691    35/184        19% 0.451629      92.6786
 13843    10      1701    45/184        24% 0.135640      92.7778
 13913    10      1711    55/184        30% 0.198216      92.6136
 13954    10      1721    65/184        35% 0.334459      91.9231
 13993    10      1731    75/184        41% 0.046006      92.1667
 14033    10      1741    85/184        46% 0.067654      91.8382
 14082    10      1751    95/184        52% 0.529806      92.0395
 14116    10      1761   105/184        57% 0.601484      91.8750
 14165    10      1771   115/184        62% 0.041116      91.8551
 14201    10      1781   125/184        68% 0.057438      91.9820
 14227    10      1791   135/184        73% 0.000037      92.0668
 14261    10      1801   145/184        79% 0.230195      92.1183
 14333    10      1811   155/184        84% 0.336071      91.9814
 14377    10      1821   165/184        90% 0.162474      91.9939
 14426    10      1831   175/184        95% 0.382889      92.2375

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
 14578    10      1840    10/30     0.9272   0.9272   0.9272       0.9272       0.3059

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
 14582    11      1841     1/184         1% 0.140057      90.6250
 14631    11      1851    11/184         6% 0.428033      93.1818
 14670    11      1861    21/184        11% 0.267746      92.2619
 14710    11      1871    31/184        17% 0.027450      91.9355
 14756    11      1881    41/184        22% 0.803371      92.3780
 14782    11      1891    51/184        28% 0.135150      92.5245
 14811    11      1901    61/184        33% 0.000101      92.6742
 14896    11      1911    71/184        39% 0.896061      92.4296
 14915    11      1921    81/184        44% 0.760191      92.3611
 14967    11      1931    91/184        49% 0.158022      92.3077
 15008    11      1941   101/184        55% 0.006130      92.1411
 15069    11      1951   111/184        60% 0.360225      92.1535
 15100    11      1961   121/184        66% 0.126004      92.1046
 15129    11      1971   131/184        71% 0.057421      92.2305
 15168    11      1981   141/184        77% 0.416383      92.2274
 15209    11      1991   151/184        82% 0.475120      92.1211
 15262    11      2001   161/184        88% 0.063090      92.0669
 15306    11      2011   171/184        93% 0.008331      92.0373
 15347    11      2021   181/184        98% 0.082335      92.2186

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
 15474    11      2024    11/30     0.9303   0.9303   0.9303       0.9303       0.3116

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
 15499    12      2031     7/184         4% 0.016805      94.1964
 15554    12      2041    17/184         9% 0.001094      92.0956
 15579    12      2051    27/184        15% 0.193002      92.0139
 15632    12      2061    37/184        20% 0.166078      92.1453
 15672    12      2071    47/184        26% 0.000488      92.7527
 15709    12      2081    57/184        31% 0.185483      92.7632
 15747    12      2091    67/184        36% 0.606988      92.6772
 15776    12      2101    77/184        42% 0.158068      92.6542
 15834    12      2111    87/184        47% 0.803374      92.6724
 15918    12      2121    97/184        53% 0.183130      92.7835
 15956    12      2131   107/184        58% 0.417510      92.6110
 15998    12      2141   117/184        64% 0.049096      92.6282
 16028    12      2151   127/184        69% 0.045983      92.7165
 16059    12      2161   137/184        74% 0.027007      92.9060
 16108    12      2171   147/184        80% 0.894464      92.8784
 16149    12      2181   157/184        85% 0.159165      93.0135
 16191    12      2191   167/184        91% 0.050387      93.0015
 16241    12      2201   177/184        96% 0.226723      93.0327

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
 16408    12      2208    12/30     0.9248   0.9248   0.9248       0.9248       0.3100

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
 16439    13      2211     3/184         2% 0.109605      94.7917
 16468    13      2221    13/184         7% 0.379762      94.7115
 16540    13      2231    23/184        12% 0.517659      93.6141
 16592    13      2241    33/184        18% 0.096527      94.2235
 16622    13      2251    43/184        23% 0.000283      94.1860
 16644    13      2261    53/184        29% 0.176397      94.1627
 16682    13      2271    63/184        34% 0.703542      93.7004
 16732    13      2281    73/184        40% 0.393302      93.7072
 16759    13      2291    83/184        45% 0.307006      93.7500
 16773    13      2301    93/184        51% 0.289428      93.7164
 16782    13      2311   103/184        56% 0.357995      93.4163
 16788    13      2321   113/184        61% 0.019407      93.6117
 16801    13      2331   123/184        67% 0.349143      93.3943
 16809    13      2341   133/184        72% 0.762283      92.9981
 16815    13      2351   143/184        78% 0.050188      93.2692
 16840    13      2361   153/184        83% 0.184308      93.0018
 16852    13      2371   163/184        89% 0.228104      92.8750
 16868    13      2381   173/184        94% 0.006293      92.9437
 16875    13      2391   183/184        99% 0.462444      93.0734

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
 16896    13      2392    13/30     0.9291   0.9291   0.9291       0.9291       0.3104

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
 16904    14      2401     9/184         5% 0.248132      88.5417
 16913    14      2411    19/184        10% 0.089364      91.1184
 16920    14      2421    29/184        16% 0.393874      92.4569
 16935    14      2431    39/184        21% 0.020359      91.8269
 16943    14      2441    49/184        27% 1.151106      92.1556
 16954    14      2451    59/184        32% 0.856947      92.6377
 16963    14      2461    69/184        38% 0.196159      92.8442
 16978    14      2471    79/184        43% 0.291915      92.6028
 16986    14      2481    89/184        48% 0.000998      92.6966
 17008    14      2491    99/184        54% 0.101207      92.6768
 17016    14      2501   109/184        59% 0.086240      92.7752
 17023    14      2511   119/184        65% 0.565996      92.8309
 17043    14      2521   129/184        70% 0.755662      92.8537
 17049    14      2531   139/184        76% 0.384456      92.7608
 17061    14      2541   149/184        81% 0.367694      92.7643
 17074    14      2551   159/184        86% 0.662143      92.6887
 17080    14      2561   169/184        92% 0.415584      92.8070
 17090    14      2571   179/184        97% 0.683638      92.4406

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
 17127    14      2576    14/30     0.9264   0.9264   0.9264       0.9264       0.3077

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
 17131    15      2581     5/184         3% 0.378165      93.7500
 17140    15      2591    15/184         8% 0.000011      92.5000
 17156    15      2601    25/184        14% 0.261119      92.2500
 17168    15      2611    35/184        19% 0.237688      92.4107
 17182    15      2621    45/184        24% 0.123964      92.2917
 17193    15      2631    55/184        30% 0.409667      92.5000
 17201    15      2641    65/184        35% 0.486026      92.3558
 17211    15      2651    75/184        41% 0.812804      92.0000
 17221    15      2661    85/184        46% 0.176304      92.3529
 17229    15      2671    95/184        52% 0.000056      92.5658
 17245    15      2681   105/184        57% 0.589505      92.5000
 17256    15      2691   115/184        62% 0.268313      92.4185
 17268    15      2701   125/184        68% 0.088513      92.4250
 17283    15      2711   135/184        73% 0.111672      92.4769
 17297    15      2721   145/184        79% 0.694505      92.4638
 17303    15      2731   155/184        84% 0.301402      92.6479
 17312    15      2741   165/184        90% 0.065079      92.6200
 17321    15      2751   175/184        95% 0.008384      92.6131

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
 17358    15      2760    15/30     0.9233   0.9233   0.9233       0.9233       0.3373

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
 17359    16      2761     1/184         1% 0.488016      84.3750
 17368    16      2771    11/184         6% 0.608437      92.6136
 17374    16      2781    21/184        11% 0.001140      93.7500
 17397    16      2791    31/184        17% 0.176485      93.1452
 17410    16      2801    41/184        22% 0.000007      93.0640
 17418    16      2811    51/184        28% 0.020055      92.8309
 17425    16      2821    61/184        33% 0.000003      92.5205
 17438    16      2831    71/184        39% 0.020915      92.3415
 17449    16      2841    81/184        44% 0.002753      92.6698
 17458    16      2851    91/184        49% 0.061170      92.6854
 17476    16      2861   101/184        55% 0.236587      92.3267
 17482    16      2871   111/184        60% 0.575318      92.5113
 17490    16      2881   121/184        66% 0.094319      92.4845
 17497    16      2891   131/184        71% 0.095860      92.3664
 17515    16      2901   141/184        77% 0.189524      92.2429
 17529    16      2911   151/184        82% 0.406109      92.3077
 17545    16      2921   161/184        88% 0.476808      92.2030
 17555    16      2931   171/184        93% 0.012987      92.2021
 17566    16      2941   181/184        98% 0.321070      92.0802

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
 17588    16      2944    16/30     0.9241   0.9241   0.9241       0.9241       0.3587
Early Stopping. Epoch: 16, Best Dev F1: 0.9302959501557633
Evaluation metrics for dev
['accuracy', 'precision', 'recall', 'f1', 'cross_entropy_loss']
[0.9302959501557633, 0.9302959501557633, 0.9302959501557633, 0.9302959501557633, 0.3116261214366026]
Evaluation metrics for test
['accuracy', 'precision', 'recall', 'f1', 'cross_entropy_loss']
[0.9302959501557633, 0.9302959501557633, 0.9302959501557633, 0.9302959501557633, 0.3116261214366026]
